Chain,Token ID,image URL,Profile,Speed,Stamina,Defence,Special Move,Punch,Kick,Total,Skin,Eye Brow,Eye Lense,Eye Shapes,Hair,Lips,Gloves,Pants,Full Costumes,Shoes,Eyelid,Chest Tattoo,Arm Tattoo,Legs Tattoo,Glasses,Face Tattoo,Forehead Tattoo,Mustache,Chain
ETH,264,https://ik.imagekit.io/xanalia/breaking-down/v2/0062.png,Phoenix,68,43,72,49,80,45,357,Almond,Wide Flat Edge - Pale Brown,Mermaid - Brown,Focused - Almond,Dreadlock - Pale Brown,Candied Toffees,Double-X - Orange and Black,Bloody-R - Emrald Green and Black,,,,,Inferno,Inferno,,,,,
ETH,265,https://ik.imagekit.io/xanalia/breaking-down/v8/0104.png,Berserker,50,61,54,67,62,59,353,Sand,Thin Rounded - Silver,Crystal - Hazel Brown,Wavy - Sand,Side Straight - Silver,Bronze Beauty,Highlight - Green and Black,Thin Strip - Cerulean Blue and White,,,,,,,,,,,
ETH,266,https://ik.imagekit.io/xanalia/breaking-down/v8/0373.png,Berserker,50,61,52,69,70,51,353,Sand,Extra Wide Flat Edge - Golden,Crystal - Amber Brown,Calm - Sand,Side Straight Mid - Golden,Bronze Beauty,Highlight - Orange and Black,Silver Shine - Magenta and Silver,,,Low Flat,Nature,Wave Kunai,,Aviator - Brown,,,,
ETH,267,https://ik.imagekit.io/xanalia/breaking-down/v8/0242.png,Infiltrator,58,53,70,51,58,67,357,Sienna,Low Curved - Bronze,Natural - Hazel,Focused - Sienna,Dreadlock - Bronze,Nude Creme,,,Ban - Red,Capsule,Thin,,,,,,,,
ETH,268,https://ik.imagekit.io/xanalia/breaking-down/v3/0158.png,Juggernaut,41,70,65,56,43,80,355,Burgundy,Soft Angled - Black,Medallion - Blue,Flat - Burgundy,Mid Straight - Black,Rasp Wicked,,,3 Piece Suite - Dark Black,Sneakers High,,Wings,,,,Pointy Round,,,
ETH,269,https://ik.imagekit.io/xanalia/breaking-down/v6/0209.png,Unstoppable,60,51,60,61,72,49,353,Porcelean,Medium Flat - Silver,Mermaid - Ice Grey,Mid Angled - Porcelean,Mid Height - Silver,Double Espresso,Highlight - Hot Pink and Black,Silver Shine - Bluish Purple and Silver,,,,Leo,,,Aviator - Brown,Pointy Round,,,
ETH,270,https://ik.imagekit.io/xanalia/breaking-down/v15/0075.png,Killer,49,62,75,46,63,62,357,Golden Brown,Mid Wave - Pastel Brown,Mermaid - Emrald Green,Thin Confident - Golden Brown,Slicked Right - Pastel Brown,Chocolate Berries,,,Nuribou - Blue,Thick Base,,,,,,,,,
ETH,271,https://ik.imagekit.io/xanalia/breaking-down/v6/0282.png,Commando,66,45,70,51,78,47,357,Cacao,Flat Edge - Pastel Brown,Crystal - Amber Brown,Normal - Cacao,Spikes - Pastel Brown,Unicorn blood,Blaze - Yellow and Black,Dark Strip - Bluish Purple and White,,,,,,,,,,,
ETH,272,https://ik.imagekit.io/xanalia/breaking-down/v10/0304.png,Unstoppable,65,46,55,66,57,64,353,Porcelean,Wide Rounded - Bronze,Medallion - Blue,Innocence - Porcelean,Dreadlock Long - Bronze,Double Espresso,Alpha - Red and Black,Aura - Hot Pink and Black,,,Narrow,,,,,Pointy Round,,,
ETH,273,https://ik.imagekit.io/xanalia/breaking-down/v5/0190.png,Phoenix,51,60,51,70,63,62,357,Almond,Low Curved - Pale Brown,Mermaid - Blue,Smart - Almond,Long Spikes - Pale Brown,Candied Toffees,Double Dark - Red and Black,Dark Strip - Cerulean Blue and White,,,,,,,,,,,
ETH,274,https://ik.imagekit.io/xanalia/breaking-down/v1/0215.png,Killer,64,47,68,53,86,39,357,Golden Brown,Wide Flat Edge - Dark Brown,Mermaid - Ice Grey,Low Flat - Golden Brown,Waves - Dark Brown,Chocolate Berries,Highlight - Hot Pink and Black,Blazing - Yellowish Green and Black,,,,,Royal Dragon,,,,,Bearded,
ETH,275,https://ik.imagekit.io/xanalia/breaking-down/v8/0387.png,Phoenix,54,57,76,45,68,57,357,Almond,Wide Flat Cut - Silver,Natural - Ice Grey,Calm - Almond,Long Spikes - Silver,Candied Toffees,,,Tornado - Blue Gray,Capsule,,,,,,,,,
ETH,276,https://ik.imagekit.io/xanalia/breaking-down/v7/0234.png,Berserker,44,67,48,73,56,65,353,Sand,Thick Rounded - Brownish Orange,Natural - Gemstone Green,Action Ready - Sand,Mid Height - Brownish Orange,Bronze Beauty,Double Dark - Orange and Black,Twin-DR - Emrald Green and Black,,,,,,,,,,,
ETH,277,https://ik.imagekit.io/xanalia/breaking-down/v7/0384.png,Unstoppable,63,48,57,64,61,60,353,Porcelean,Wide Rounded - Pale Brown,Natural - Ice Grey,Narrow Pointy - Porcelean,Mid Straight - Pale Brown,Double Espresso,Round Strip - Navy Blue and Black,Twin-DR - Bluish Purple and Black,,,,,,Wave Kunai,Aviator - Brown,,,,Chain Pendant
ETH,278,https://ik.imagekit.io/xanalia/breaking-down/v15/0123.png,Berserker,59,52,59,62,47,74,353,Sand,Point Flat Bulky - Brownish Orange,Natural - Gemstone Green,Wide Focused - Sand,Elegant - Brownish Orange,Bronze Beauty,,,Nuribou - Green,Sporty,Short Low,,,,,,Twin Phoenix,,
ETH,279,https://ik.imagekit.io/xanalia/breaking-down/v13/0216.png,Phoenix,46,65,70,51,72,53,357,Almond,Low Curved - Pale Brown,Mermaid - Ice Grey,Narrow Pointy - Almond,Long Front Wave - Pale Brown,Candied Toffees,Alpha - Magenta and Black,Thin Strip - Bluish Purple and White,,,,Edge,,,,Pointy Round,,,
ETH,280,https://ik.imagekit.io/xanalia/breaking-down/v4/0418.png,Rogue,65,46,57,64,65,60,357,Ivory,Straight - Pastel Brown,Natural - Amber Brown,Round Flat - Ivory,Side Straight Mid - Pastel Brown,Teddy Bear,Double-X - Magenta and Black,Twin-DR - Hot Pink and Black,,,Thin Curve,,,Ancient,,,,,
ETH,281,https://ik.imagekit.io/xanalia/breaking-down/v13/0364.png,Rogue,62,49,52,69,58,67,357,Ivory,Flat Edge - Dark Brown,Medallion - Ice Grey,Mid Rounded - Ivory,Elegant Fade - Dark Brown,Teddy Bear,Dark Combat - Orange and Black,Dark Funk - Dark Brown and White,,,Half Round,Leo,,Inferno,,,,,
ETH,282,https://ik.imagekit.io/xanalia/breaking-down/v12/0320.png,Phoenix,51,60,51,70,75,50,357,Almond,Bulky Flat - Dark Brown,Crystal - Jade Green,Nervous - Almond,Side Straight Mid - Dark Brown,Candied Toffees,Blaze - Green and Black,Dark Funk - Dark Magenta and White,,,,,,,,,,Mustache Bearded,
ETH,283,https://ik.imagekit.io/xanalia/breaking-down/v5/0070.png,Commando,44,67,66,55,84,41,357,Cacao,Mid Flat - Black,Medallion - Emrald Green,Calm Flat - Cacao,Slicked Back - Black,Unicorn blood,Neo-G - Yellow and Black,Dark Funk - Cobalt Blue and White,,,,Fairy,,,,,,Bearded,
ETH,284,https://ik.imagekit.io/xanalia/breaking-down/v4/0417.png,Phoenix,53,58,81,40,73,52,357,Almond,Wide Flat Cut - Pinkish Red,Medallion - Amber Brown,Wide Focused - Almond,Side Straight - Pinkish Red,Candied Toffees,,,Lida - Blue Dianne,Capsule,,,,,,,,,
ETH,285,https://ik.imagekit.io/xanalia/breaking-down/v10/0021.png,Killer,52,59,64,57,50,75,357,Golden Brown,Narrow Curved - Silver,Crystal - Amber Brown,Nervous - Golden Brown,Mid Height - Silver,Chocolate Berries,,,Satoru - Black,Thick Base,,,ZigZag,Ancient,,,,,
ETH,286,https://ik.imagekit.io/xanalia/breaking-down/v5/0312.png,Juggernaut,62,49,68,53,56,67,355,Burgundy,Curve - Pastel Brown,Crystal - Jade Green,Low Rounded - Burgundy,Mid Height - Pastel Brown,Rasp Wicked,,,Masao - Pink,Joggers,,,,,,,,,
ETH,287,https://ik.imagekit.io/xanalia/breaking-down/v13/0255.png,Infiltrator,69,42,59,62,47,78,357,Sienna,Straight - Pinkish Red,Mermaid - Brown,Normal - Sienna,Front Spikes - Pinkish Red,Nude Creme,,,Komeo - Yellow,Joggers High,Rounded,,,,,,,,
ETH,288,https://ik.imagekit.io/xanalia/breaking-down/v1/0028.png,Warrior,55,56,65,56,57,66,355,Pale Ivory,Point Flat Bulky - Pale Brown,Crystal - Hazel Brown,Wavy - Pale Ivory,Side Straight - Pale Brown,Naturally Chic,,,Urita - Black,High Fit,,Wings,Wolf Spirit,,,,,,
ETH,289,https://ik.imagekit.io/xanalia/breaking-down/v14/0026.png,Juggernaut,61,50,59,62,47,76,355,Burgundy,Narrow Rounded - Pinkish Red,Mermaid - Blue,High Flat - Burgundy,Wild Spikes - Pinkish Red,Rasp Wicked,,,Satoru - Purple,Run Strip,,,,,,,,,
ETH,290,https://ik.imagekit.io/xanalia/breaking-down/v12/0265.png,Unstoppable,75,36,59,62,51,70,353,Porcelean,Soft Angled - Golden,Medallion - Hazel Brown,Calm Flat - Porcelean,Waves - Golden,Double Espresso,,,3 Piece Suite - Turquoise,Run Strip,Flat Down,,,,,,,,
ETH,291,https://ik.imagekit.io/xanalia/breaking-down/v12/0211.png,Phoenix,60,51,60,61,72,53,357,Almond,Mid Wave - Silver,Natural - Gemstone Green,Wide Focused - Almond,Front Spikes - Silver,Candied Toffees,Alpha - Green and Black,Thin Strip - Bluish Purple and White,,,,,,,,,,,
ETH,292,https://ik.imagekit.io/xanalia/breaking-down/v11/0293.png,Rogue,57,54,77,44,81,44,357,Ivory,Fat Flat - Golden,Natural - Hazel,Wide Focused - Ivory,Long Spikes - Golden,Teddy Bear,Dark Combat - Royal Blue and Black,Thin Strip - Emrald Green and White,,,Short Low,Feathered,,Polyzig,,,,,
ETH,293,https://ik.imagekit.io/xanalia/breaking-down/v10/0113.png,Phoenix,59,52,63,58,55,70,357,Almond,Medium Flat - Bronze,Mermaid - Blue,Mid Angled - Almond,Front Waves - Bronze,Candied Toffees,,,Tornado - Blue Gray,Sneakers,,,,,,,,,
ETH,294,https://ik.imagekit.io/xanalia/breaking-down/v15/0036.png,Rogue,72,39,70,51,60,65,357,Ivory,Extra Wide Flat Edge - Golden,Mermaid - Ice Grey,Normal - Ivory,Fat Straights - Golden,Teddy Bear,,,Nuribou - Blue,Sneakers High,Rounded,,,,,,,,
ETH,295,https://ik.imagekit.io/xanalia/breaking-down/v12/0371.png,Infiltrator,58,53,62,59,70,55,357,Sienna,Extra Wide Flat Edge - Pale Brown,Mermaid - Hazel Brown,Mid Angled - Sienna,Front Waves - Pale Brown,Nude Creme,Dark Combat - Purple and Black,Edge - Emrald Green and Black,,,,,,,,,,,
ETH,296,https://ik.imagekit.io/xanalia/breaking-down/v10/0090.png,Unstoppable,62,49,58,63,70,51,353,Porcelean,Point Flat Bulky - Brownish Orange,Crystal - Hazel Brown,Wave Rounded - Porcelean,Elegant - Brownish Orange,Double Espresso,Neo-G - Green and Black,Double - Emrald Green and White,,,,,Wolf Spirit,,,,,,
ETH,297,https://ik.imagekit.io/xanalia/breaking-down/v1/0373.png,Juggernaut,50,61,54,67,62,61,355,Burgundy,Thick Flat - Pale Brown,Crystal - Sterling Blue,Sharp - Burgundy,Side Straight - Pale Brown,Rasp Wicked,Double Dark - Navy Blue and Black,Silver Shine - Red and Silver,,,,,,,,,,,
ETH,298,https://ik.imagekit.io/xanalia/breaking-down/v1/0234.png,Killer,46,65,74,47,62,63,357,Golden Brown,Thin High Flat - Pinkish Red,Natural - Aqua,Sleepy - Golden Brown,Fat Straights - Pinkish Red,Chocolate Berries,,,Urita - Red,Capsule,,,,,,,,,
ETH,299,https://ik.imagekit.io/xanalia/breaking-down/v8/0308.png,Rogue,45,66,57,64,57,68,357,Ivory,Extra Wide Flat Edge - Dark Brown,Natural - Amber Brown,Smart - Ivory,Side Straight - Dark Brown,Teddy Bear,Blaze - Green and Black,Thin Strip - Cerulean Blue and White,,,,,,Wolf Spirit,,,,,
ETH,300,https://ik.imagekit.io/xanalia/breaking-down/v10/0210.png,Rogue,51,60,53,68,63,62,357,Ivory,Slight Rounded - Brownish Orange,Natural - Aqua,Wavy - Ivory,Front Spikes - Brownish Orange,Teddy Bear,Double Dark - Green and Black,Artistic - Yellowish Green and White,,,,,,,,,,,
ETH,301,https://ik.imagekit.io/xanalia/breaking-down/v8/0274.png,Berserker,43,68,53,68,41,80,353,Sand,Thin High Flat - Pastel Brown,Crystal - Amber Brown,Thick Angled - Sand,Dreadlock - Pastel Brown,Bronze Beauty,,,Satoru - Black,Thick Base,,,,,,,,,
ETH,302,https://ik.imagekit.io/xanalia/breaking-down/v2/0048.png,Unstoppable,59,52,55,66,59,62,353,Porcelean,Wide Rounded - Brownish Orange,Crystal - Ice Grey,Wide Focused - Porcelean,Dreadlock - Brownish Orange,Double Espresso,Round Strip - Purple and Black,Thin Strip - Hot Pink and White,,,Short Low,,,Wave Kunai,,,,,
ETH,303,https://ik.imagekit.io/xanalia/breaking-down/v10/0073.png,Infiltrator,52,59,86,35,84,41,357,Sienna,Bulky Flat - Dark Brown,Medallion - Amber Brown,Low Rounded - Sienna,Long Front Wave - Dark Brown,Nude Creme,,,Ban - Dark Black,Capsule,,Twin Wings,,,,,,Bearded,
ETH,304,https://ik.imagekit.io/xanalia/breaking-down/v7/0421.png,Brawler,53,58,57,64,65,60,357,Umber,Flat - Pinkish Red,Mermaid - Hazel Brown,Flat - Umber,Dreadlock - Pinkish Red,Madrid Deep,Round Strip - Orange and Black,Neo-PW - Bluish Purple and White,,,,,,,,,,,
ETH,305,https://ik.imagekit.io/xanalia/breaking-down/v6/0013.png,Phoenix,67,44,89,32,69,56,357,Almond,Point Flat Bulky - Pastel Brown,Crystal - Sterling Blue,Normal - Almond,Spikes - Pastel Brown,Candied Toffees,,,Ban - Black,High Fit,,,Wolf Spirit,Royal Dragon,,,,,
ETH,306,https://ik.imagekit.io/xanalia/breaking-down/v2/0177.png,Killer,68,43,88,33,72,53,357,Golden Brown,Flat Curve - Golden,Crystal - Amber Brown,Normal - Golden Brown,Wild Spikes - Golden,Chocolate Berries,,,Lida - Blue Dianne,Run Strip,,Twin Wings,Dragon,,Star - Golden Black,Pointy Round,,,
ETH,307,https://ik.imagekit.io/xanalia/breaking-down/v8/0351.png,Unstoppable,58,53,54,67,66,55,353,Porcelean,Medium Flat - Dark Brown,Crystal - Amber Brown,Wavy - Porcelean,Mid Straight - Dark Brown,Double Espresso,Highlight - Neon Yellow and Black,Thin Strip - Black and White,,,,,,,,,,,
ETH,308,https://ik.imagekit.io/xanalia/breaking-down/v5/0168.png,Phoenix,42,69,42,79,54,71,357,Almond,Straight - Pale Brown,Mermaid - Blue,Narrow Pointy - Almond,Decent - Pale Brown,Candied Toffees,Double-X - Purple and Black,Double - Emrald Green and White,,,,,,,,,,,
ETH,309,https://ik.imagekit.io/xanalia/breaking-down/v11/0287.png,Phoenix,49,62,49,72,61,64,357,Almond,Narrow Curved - Pale Brown,Natural - Ice Grey,Thin Confident - Almond,Slicked Back - Pale Brown,Candied Toffees,Blaze - Navy Blue and Black,Neo-P - Hot Pink and Black,,,,,,,,,,,
ETH,310,https://ik.imagekit.io/xanalia/breaking-down/v8/0407.png,Unstoppable,62,49,58,63,70,51,353,Porcelean,Low Curved - Pinkish Red,Natural - Hazel,Confident - Porcelean,Short Wild - Pinkish Red,Double Espresso,Strips - Purple and Black,W B R - Black and White,,,,,,,,,,,
ETH,311,https://ik.imagekit.io/xanalia/breaking-down/v1/0181.png,Infiltrator,50,61,54,67,62,63,357,Sienna,Thin High Flat - Pale Brown,Crystal - Amber Brown,Thick Angled - Sienna,Elegant - Pale Brown,Nude Creme,Alpha - Red and Black,W B R - Hot Pink and Black,,,,,,,,,,,
ETH,312,https://ik.imagekit.io/xanalia/breaking-down/v4/0298.png,Juggernaut,51,60,55,66,63,60,355,Burgundy,Wide Flat Cut - Pinkish Red,Mermaid - Blue,Innocence - Burgundy,Dreadlock Long - Pinkish Red,Rasp Wicked,Neo - Royal and Black,Twin-DR - Emrald Green and Black,,,,,,,,,,,
ETH,313,https://ik.imagekit.io/xanalia/breaking-down/v11/0198.png,Phoenix,40,71,52,69,64,61,357,Almond,Flat Curve - Pinkish Red,Crystal - Jade Green,Action Ready - Almond,Front Waves - Pinkish Red,Candied Toffees,Strips - Red and Black,Class Gold - Deep Green and Black,,,,Grim,ZigZag,,,,,,
ETH,314,https://ik.imagekit.io/xanalia/breaking-down/v2/0277.png,Berserker,68,43,52,69,40,81,353,Sand,Angry - Brownish Orange,Mermaid - Ice Grey,Sleepy - Sand,Long Front Wave - Brownish Orange,Bronze Beauty,,,Satoru - Purple,Funky,Low Curve,,,,,,,,
ETH,315,https://ik.imagekit.io/xanalia/breaking-down/v7/0159.png,Commando,54,57,74,47,62,63,357,Cacao,Mid Flat - Pastel Brown,Mermaid - Brown,Normal - Cacao,Mid Height - Pastel Brown,Unicorn blood,,,Lida - Walnut Bown,Double Capsure,,,,,,,,,
ETH,316,https://ik.imagekit.io/xanalia/breaking-down/v6/0042.png,Juggernaut,49,62,75,46,63,60,355,Burgundy,Thin Rounded - Golden,Mermaid - Ice Grey,Focused - Burgundy,Short Wild - Golden,Rasp Wicked,,,Masao - Neon,Thick Base,,,,,,,,,
ETH,317,https://ik.imagekit.io/xanalia/breaking-down/v13/0164.png,Juggernaut,49,62,53,68,61,62,355,Burgundy,Thick Rounded - Bronze,Crystal - Jade Green,Low Flat - Burgundy,Side Straight - Bronze,Rasp Wicked,Double-X - Red and Black,Artistic - Hot Pink and White,,,,,,,,,,,
ETH,318,https://ik.imagekit.io/xanalia/breaking-down/v11/0352.png,Killer,63,48,73,48,61,64,357,Golden Brown,Flat Edge - Bronze,Medallion - Amber Brown,Nervous - Golden Brown,Dreadlock - Bronze,Chocolate Berries,,,Ban - Turquoise,Sneakers High,,Phoenix,,,,,,,
ETH,319,https://ik.imagekit.io/xanalia/breaking-down/v15/0061.png,Infiltrator,68,43,68,53,52,73,357,Sienna,Slight Flat - Silver,Mermaid - Hazel Brown,Mid Rounded - Sienna,Wild Spikes - Silver,Nude Creme,,,Nuribou - Blue,Funky,Half Round,,,,Star - Golden Black,Pointy Round,,,
ETH,320,https://ik.imagekit.io/xanalia/breaking-down/v13/0123.png,Unstoppable,73,38,59,62,51,70,353,Porcelean,Wide Flat Cut - Silver,Medallion - Ice Grey,Low Flat - Porcelean,Spikes - Silver,Double Espresso,,,Ban - White,Casual Sneakers,Pointy Flat,,,,,,,,
ETH,321,https://ik.imagekit.io/xanalia/breaking-down/v3/0100.png,Infiltrator,55,56,59,62,67,58,357,Sienna,Mid Bulky - Pale Brown,Medallion - Ice Grey,Low Rounded - Sienna,Mid Height - Pale Brown,Nude Creme,Round Strip - Yellow and Black,Thin Strip - Cerulean Blue and White,,,,,,,,,,,
ETH,322,https://ik.imagekit.io/xanalia/breaking-down/v13/0179.png,Juggernaut,65,46,69,52,77,46,355,Burgundy,Fat Flat - Golden,Mermaid - Hazel Brown,Wavy - Burgundy,Decent - Golden,Rasp Wicked,Double Dark - Navy Blue and Black,Class Gold - Dark Magenta and Black,,,,,,,,,,,
ETH,323,https://ik.imagekit.io/xanalia/breaking-down/v6/0213.png,Killer,54,57,64,57,52,73,357,Golden Brown,Bulky Rounded - Pale Brown,Medallion - Hazel Brown,Narrow Pointy - Golden Brown,Side Straight Mid - Pale Brown,Chocolate Berries,,,Urita - Light Navy Blue,Sneakers,,,,,,,,,
ETH,324,https://ik.imagekit.io/xanalia/breaking-down/v3/0228.png,Berserker,51,60,55,66,53,68,353,Sand,Soft Angled - Pale Brown,Medallion - Blue,Confident - Sand,Short Wild - Pale Brown,Bronze Beauty,,,Ban - Dark Black,Sneakers,,,,Ancient,Retro Square - Brown,,,,
ETH,325,https://ik.imagekit.io/xanalia/breaking-down/v2/0336.png,Phoenix,48,63,66,55,50,75,357,Almond,Mid Wave - Pale Brown,Medallion - Blue,Sharp - Almond,Dreadlock Long - Pale Brown,Candied Toffees,,,Komeo - Light Gray,Double Capsure,,,Howl,Wave Kunai,,,,,
ETH,326,https://ik.imagekit.io/xanalia/breaking-down/v6/0275.png,Killer,53,58,75,46,63,62,357,Golden Brown,Thick Flat - Bronze,Natural - Gemstone Green,Low Rounded - Golden Brown,Dreadlock - Bronze,Chocolate Berries,,,Lida - Walnut Bown,Capsule,,,Royal Dragon,,,,,,
ETH,327,https://ik.imagekit.io/xanalia/breaking-down/v15/0068.png,Phoenix,64,47,66,55,58,67,357,Almond,Narrow Curved - Golden,Medallion - Emrald Green,Wavy - Almond,Dreadlock Long - Golden,Candied Toffees,,,Nuribou - Purple,Joggers,,,,,,,,,
ETH,328,https://ik.imagekit.io/xanalia/breaking-down/v11/0245.png,Phoenix,66,45,80,41,74,51,357,Almond,Fat Flat - Pale Brown,Medallion - Emrald Green,Normal State - Almond,Mid Height - Pale Brown,Candied Toffees,Blaze - Navy Blue and Black,Bloody-R - Hot Pink and Black,,,,Leo,,,,Pointy Round,,,Crossed
ETH,329,https://ik.imagekit.io/xanalia/breaking-down/v9/0036.png,Juggernaut,52,59,84,37,72,51,355,Burgundy,Flat - Pinkish Red,Natural - Hazel,Thick Angled - Burgundy,Decent - Pinkish Red,Rasp Wicked,,,Ban - Gray,Capsule,,,,,,,,,
ETH,330,https://ik.imagekit.io/xanalia/breaking-down/v5/0065.png,Brawler,46,65,50,71,58,67,357,Umber,Mid Flat - Pinkish Red,Medallion - Blue,Sharp - Umber,Side Straight - Pinkish Red,Madrid Deep,Strips - Sea green and Black,Class Gold - Cool Grey and Black,,,,,,,,,,,
ETH,331,https://ik.imagekit.io/xanalia/breaking-down/v4/0009.png,Unstoppable,60,51,68,53,60,61,353,Porcelean,Straight - Golden,Natural - Ice Grey,Thin Confident - Porcelean,Front Spikes - Golden,Double Espresso,,,Ban - Turquoise,Double Capsure,,,,,,,,,
ETH,332,https://ik.imagekit.io/xanalia/breaking-down/v1/0384.png,Warrior,55,56,59,62,71,52,355,Pale Ivory,Thin Flat - Bronze,Natural - Gemstone Green,Calm - Pale Ivory,Waves - Bronze,Naturally Chic,Neo-G - Purple and Black,Silver Shine - Red and Silver,,,Low Flat,,,Wave Kunai,,,,Mustache,
ETH,333,https://ik.imagekit.io/xanalia/breaking-down/v10/0220.png,Rogue,73,38,55,66,65,60,357,Ivory,Wide Flat Edge - Silver,Medallion - Emrald Green,Calm Flat - Ivory,Long Front Wave - Silver,Teddy Bear,Alpha - Purple and Black,Neo-Y - Magenta and Black,,,Flat Down,,,,,,,,
ETH,334,https://ik.imagekit.io/xanalia/breaking-down/v5/0075.png,Berserker,57,54,55,66,63,58,353,Sand,Flat Curve - Dark Brown,Crystal - Amber Brown,Thick Rounded - Sand,Dreadlock Long - Dark Brown,Bronze Beauty,Highlight - Magenta and Black,Dark Strip - Magenta and White,,,Thin Rounded,,,,,,,,
ETH,335,https://ik.imagekit.io/xanalia/breaking-down/v2/0143.png,Killer,56,55,74,47,82,43,357,Golden Brown,Soft Angled - Silver,Mermaid - Blue,Normal - Golden Brown,Elegant Fade - Silver,Chocolate Berries,Neo-G - Magenta and Black,Bloody-R - Yellowish Green and Black,,,,Edge,,,,,,,
ETH,336,https://ik.imagekit.io/xanalia/breaking-down/v9/0024.png,Juggernaut,53,58,57,64,65,58,355,Burgundy,Thick Flat - Brownish Orange,Medallion - Amber Brown,Normal Open - Burgundy,Spikes - Brownish Orange,Rasp Wicked,Highlight - Magenta and Black,Silver Shine - Yellowish Green and Silver,,,,,,,,,,,
ETH,337,https://ik.imagekit.io/xanalia/breaking-down/v4/0050.png,Brawler,48,63,62,59,48,77,357,Umber,Mid Flat - Brownish Orange,Crystal - Ice Grey,Wave Rounded - Umber,Long Spikes - Brownish Orange,Madrid Deep,,,Tornado - Pink,Run Strip,,Grim,Royal Dragon,Ancient,,,,,
ETH,338,https://ik.imagekit.io/xanalia/breaking-down/v9/0066.png,Warrior,48,63,62,59,54,69,355,Pale Ivory,Wide Rounded - Silver,Medallion - Hazel Brown,Normal Open - Pale Ivory,Short Wild - Silver,Naturally Chic,,,Satoru - Red,Capsule,High Rounded,Edge,Howl,Wolf Spirit,Aviator - Brown,,,,
ETH,339,https://ik.imagekit.io/xanalia/breaking-down/v10/0278.png,Berserker,48,63,72,49,80,41,353,Sand,Slight Rounded - Dark Brown,Medallion - Blue,Nervous - Sand,Short Wild - Dark Brown,Bronze Beauty,Round Strip - Yellow and Black,Twin-DR - Yellowish Green and Black,,,,Feathered,Howl,,,,,,
ETH,340,https://ik.imagekit.io/xanalia/breaking-down/v5/0202.png,Unstoppable,66,45,68,53,60,61,353,Porcelean,Point Flat Bulky - Silver,Medallion - Emrald Green,Wavy - Porcelean,Decent - Silver,Double Espresso,,,Ban - Dark Blue,Run Strip,,,,,,,,,
ETH,341,https://ik.imagekit.io/xanalia/breaking-down/v14/0097.png,Infiltrator,46,65,62,59,50,75,357,Sienna,Soft Angled - Silver,Crystal - Amber Brown,Action Ready - Sienna,Front Waves - Silver,Nude Creme,,,Urita - Red,High Fit,,,,,,,,,
ETH,342,https://ik.imagekit.io/xanalia/breaking-down/v12/0375.png,Berserker,52,59,40,81,48,73,353,Sand,Mid Bulky - Golden,Mermaid - Emrald Green,Low Flat - Sand,Short Wild - Golden,Bronze Beauty,Neo-G - Yellow and Black,Blazing - Magenta and Black,,,Pointy Flat,,,,,,,,
ETH,343,https://ik.imagekit.io/xanalia/breaking-down/v14/0376.png,Phoenix,59,52,65,56,57,68,357,Almond,Mid Bulky - Golden,Mermaid - Blue,Thick Angled - Almond,Dreadlock Long - Golden,Candied Toffees,,,Komeo - Blue,Funky,,,Wolf Spirit,,,,,,
ETH,344,https://ik.imagekit.io/xanalia/breaking-down/v14/0317.png,Berserker,54,57,88,33,80,41,353,Sand,Mid Wave - Black,Mermaid - Hazel Brown,Confident - Sand,Elegant Fade - Black,Bronze Beauty,,,Komeo - Blue,Double Capsure,,Leo,Howl,Wave Kunai,,,Leo Tribe,Mustache Bearded,
ETH,345,https://ik.imagekit.io/xanalia/breaking-down/v8/0019.png,Commando,42,69,54,67,52,73,357,Cacao,Flat Curve - Black,Mermaid - Emrald Green,Nervous - Cacao,Mid Straight - Black,Unicorn blood,,,Lida - Blue,Run Strip,,,,,,,,Bearded,
ETH,346,https://ik.imagekit.io/xanalia/breaking-down/v13/0136.png,Brawler,52,59,52,69,40,85,357,Umber,Mid Flat - Pinkish Red,Natural - Ice Grey,Calm Flat - Umber,Long Front Wave - Pinkish Red,Madrid Deep,,,Satoru - Purple,Sporty,,,,,,,,,
ETH,347,https://ik.imagekit.io/xanalia/breaking-down/v2/0381.png,Commando,61,50,71,50,73,52,357,Cacao,Flat - Pinkish Red,Mermaid - Ice Grey,Flat - Cacao,Elegant - Pinkish Red,Unicorn blood,Alpha - Orange and Black,Blazing - Emrald Green and Black,,,,,Howl,Polyzig,,,,,
ETH,348,https://ik.imagekit.io/xanalia/breaking-down/v10/0192.png,Berserker,50,61,64,57,72,49,353,Sand,Wide Flat Cut - Silver,Mermaid - Hazel Brown,Wave Rounded - Sand,Spikes Top - Silver,Bronze Beauty,Neo-G - Purple and Black,Neo-P - Magenta and Black,,,,Nature,,,,,,,
ETH,349,https://ik.imagekit.io/xanalia/breaking-down/v5/0350.png,Commando,51,60,55,66,63,62,357,Cacao,Mid Wave - Bronze,Mermaid - Brown,Thick Rounded - Cacao,Mid Straight - Bronze,Unicorn blood,Strips - Royal Blue and Black,Artistic - Yellowish Green and White,,,,,,,,,,,
ETH,350,https://ik.imagekit.io/xanalia/breaking-down/v10/0224.png,Juggernaut,36,75,56,65,34,89,355,Burgundy,Flat - Dark Brown,Crystal - Amber Brown,Innocence - Burgundy,Long Spikes - Dark Brown,Rasp Wicked,,,Lida - Antique Bronze,Run Strip,,Twin Wings,,Wolf Spirit,,Pointy Round,,Bearded,
